Race,Asian,,,,,,
,,,,,,,
Row Labels,Count of Year,,,,,Year,Fatalities
2000,3,,,,,2000,58
2001,7,,,,,2001,52
2002,9,,,,,2002,66
2003,7,,,,,2003,68
2004,6,,,,,2004,67
2005,8,,,,,2005,71
2006,6,,,,,2006,91
2007,6,,,,,2007,86
2008,10,,,,,2008,93
2009,10,,,,,2009,116
2010,8,,,,,2010,108
2011,12,,,,,2011,164
2012,9,,,,,2012,176
2013,16,,,,,2013,272
2014,14,,,,,2014,237
2015,26,,,,,2015,527
2016,16,,,,,2016,284
Grand Total,173,,,,,,
,,,,,,,
,,,,,,Row Labels,Count of Year
,,,,,,2000,3
,,,,,,2001,7
,,,,,,2002,9
,,,,,,2003,7
,,,,,,2004,6
,,,,,,2005,8
,,,,,,2006,6
,,,,,,2007,6
,,,,,,2008,10
,,,,,,2009,10
,,,,,,2010,8
,,,,,,2011,12
,,,,,,2012,9
,,,,,,2013,16
,,,,,,2014,14
,,,,,,2015,26
,,,,,,2016,16
