,Year,Population,Population Rate,YearlyChange,
16,2000,282171957,100,981144,NaN
15,2001,285081556,101.03,2909599,NaN
14,2002,287803914,101.98,2722358,NaN
13,2003,290326418,102.85,2522504,NaN
12,2004,293045739,103.78,2719321,NaN
11,2005,295753151,104.7,2707412,NaN
10,2006,298593212,105.66,2840061,NaN
9,2007,301579895,106.66,2986683,NaN
8,2008,304374846,107.58,2794951,NaN
7,2009,307006550,108.44,2631704,NaN
6,2010,309346863,109.2,2340313,NaN
5,2011,311718857,109.96,2371994,NaN
4,2012,314102623,110.72,2383766,NaN
3,2013,316427395,111.46,2324772,NaN
2,2014,318907401,112.24,2480006,NaN
1,2015,321418820,113.02,2511419,NaN
0,2016,323071342,114.49,1652522,
